

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
103.482  000.369  000.369: require('mason-lspconfig.settings')
103.893  000.405  000.405: require('mason-lspconfig.lspconfig_hook')
107.832  000.738  000.738: require('vim.lsp.log')
108.931  000.024  000.024: require('vim.F')
108.939  001.097  001.072: require('vim.lsp.protocol')
111.499  000.899  000.899: require('vim.lsp._snippet')
112.195  000.689  000.689: require('vim.highlight')
112.222  003.280  001.692: require('vim.lsp.util')
112.239  006.063  000.948: require('vim.lsp.handlers')
113.237  000.994  000.994: require('vim.lsp.rpc')
113.992  000.748  000.748: require('vim.lsp.sync')
115.165  001.165  001.165: require('vim.lsp.buf')
115.900  000.729  000.729: require('vim.lsp.diagnostic')
116.632  000.725  000.725: require('vim.lsp.codelens')
116.749  012.140  001.716: require('vim.lsp')
116.808  012.908  000.768: require('lspconfig.util')
117.250  000.429  000.429: require('mason-lspconfig.win-exepath-compat')
118.134  000.404  000.404: require('mason-core.functional.table')
118.177  000.876  000.472: require('mason-lspconfig.mappings.server')
119.534  000.492  000.492: require('mason-core.async')
119.909  000.367  000.367: require('mason-core.async.uv')
119.924  001.315  000.455: require('mason-core.fs')
120.357  000.428  000.428: require('mason-core.optional')
120.757  000.393  000.393: require('mason-core.EventEmitter')
121.379  000.616  000.616: require('mason-registry.index')
121.437  003.255  000.503: require('mason-registry')
121.805  000.363  000.363: require('mason-lspconfig.server_config_extensions')
122.593  000.781  000.781: require('lspconfig.configs')
123.180  000.581  000.581: require('lspconfig.server_configurations.omnisharp')
124.182  000.352  000.352: require('mason-core.notify')
124.560  000.371  000.371: require('mason-core.functional.number')
124.600  001.302  000.579: require('mason-lspconfig.api.command')
125.076  000.229  000.229: require('cmp_nvim_lsp.source')
125.083  000.478  000.250: require('cmp_nvim_lsp')
125.510  000.422  000.422: require('lspconfig')
126.025  000.509  000.509: require('lspconfig.server_configurations.clangd')
128.462  000.409  000.409: require('material.util.config')
128.472  000.770  000.361: require('material')
129.440  000.343  000.343: require('lualine_require')
130.153  001.638  001.294: require('lualine')
131.894  000.545  000.545: require('lualine.highlight')
134.374  000.307  000.307: require('lualine.utils.mode')
150.706  000.301  000.301: require('auto-session-library')
150.940  000.224  000.224: require('auto-session-autocmds')
150.983  001.189  000.663: require('auto-session')
152.557  000.744  000.744: require('indent_blankline/utils')
152.568  001.554  000.809: require('indent_blankline')
154.742  000.641  000.641: require('nvim-autopairs._log')
155.490  000.734  000.734: require('nvim-autopairs.utils')
157.464  000.710  000.710: require('nvim-autopairs.conds')
157.476  001.254  000.544: require('nvim-autopairs.rule')
157.480  001.982  000.728: require('nvim-autopairs.rules.basic')
157.490  004.698  001.341: require('nvim-autopairs')
158.743  000.527  000.527: require('Comment')
159.644  000.355  000.355: require('Comment.config')
160.768  000.549  000.549: require('Comment.ft')
160.781  001.126  000.577: require('Comment.utils')
161.174  000.389  000.389: require('Comment.opfunc')
161.503  000.322  000.322: require('Comment.extra')
161.512  002.760  000.569: require('Comment.api')
161.582  000.064  000.064: require('vim.keymap')
169.387  000.788  000.788: require('nvim-tree.iterators.node-iterator')
169.452  003.240  002.452: require('nvim-tree.utils')
169.461  003.968  000.728: require('nvim-tree.events')
171.442  000.602  000.602: require('nvim-tree.log')
179.833  008.383  008.383: require('nvim-tree.git.utils')
180.536  000.682  000.682: require('nvim-tree.git.runner')
181.121  000.578  000.578: require('nvim-tree.watcher')
181.131  010.976  000.731: require('nvim-tree.git')
181.705  000.570  000.570: require('nvim-tree.explorer.watch')
182.227  000.515  000.515: require('nvim-tree.explorer.common')
183.332  000.554  000.554: require('nvim-tree.explorer.node-builders')
183.917  000.578  000.578: require('nvim-tree.explorer.sorters')
184.465  000.542  000.542: require('nvim-tree.explorer.filters')
185.806  000.757  000.757: require('nvim-tree.view')
185.819  001.346  000.590: require('nvim-tree.live-filter')
185.824  003.590  000.570: require('nvim-tree.explorer.explore')
186.399  000.572  000.572: require('nvim-tree.explorer.reload')
186.407  016.929  000.706: require('nvim-tree.explorer')
186.413  021.520  000.623: require('nvim-tree.core')
186.993  000.577  000.577: require('nvim-tree.diagnostics')
187.614  000.614  000.614: require('nvim-tree.renderer.components.padding')
188.167  000.545  000.545: require('nvim-tree.renderer.components.icons')
188.774  000.601  000.601: require('nvim-tree.renderer.components.full-name')
189.320  000.538  000.538: require('nvim-tree.renderer.help')
190.019  000.693  000.693: require('nvim-tree.renderer.components.git')
190.799  000.756  000.756: require('nvim-tree.renderer.builder')
191.400  000.594  000.594: require('nvim-tree.marks')
191.412  027.361  000.924: require('nvim-tree.renderer')
191.958  000.535  000.535: require('nvim-tree.actions.tree-modifiers.collapse-all')
192.466  000.501  000.501: require('nvim-tree.actions.root.dir-up')
193.028  000.556  000.556: require('nvim-tree.actions.root.change-dir')
193.679  000.637  000.637: require('nvim-tree.actions.reloaders.reloaders')
194.313  000.613  000.613: require('nvim-tree.actions.finders.find-file')
194.326  030.962  000.759: require('nvim-tree.lib')
194.961  000.631  000.631: require('nvim-tree.colors')
195.688  000.720  000.720: require('nvim-tree.legacy')
196.377  000.682  000.682: require('nvim-tree.actions.fs.copy-paste')
197.567  000.560  000.560: require('nvim-tree.actions.tree-modifiers.expand-all')
198.154  000.580  000.580: require('nvim-tree.actions.tree-modifiers.toggles')
198.788  000.612  000.612: require('nvim-tree.actions.fs.create-file')
199.349  000.553  000.553: require('nvim-tree.actions.fs.rename-file')
199.951  000.596  000.596: require('nvim-tree.actions.fs.trash')
200.535  000.577  000.577: require('nvim-tree.actions.fs.remove-file')
201.061  000.519  000.519: require('nvim-tree.actions.moves.parent')
201.622  000.553  000.553: require('nvim-tree.actions.moves.sibling')
202.141  000.510  000.510: require('nvim-tree.actions.moves.item')
202.688  000.538  000.538: require('nvim-tree.actions.finders.search-node')
203.203  000.509  000.509: require('nvim-tree.actions.node.run-command')
203.745  000.535  000.535: require('nvim-tree.actions.node.file-popup')
204.313  000.561  000.561: require('nvim-tree.actions.node.system-open')
204.838  000.517  000.517: require('nvim-tree.marks.bulk-move')
204.845  008.460  000.738: require('nvim-tree.actions.dispatch')
204.873  042.883  001.428: require('nvim-tree')
207.332  000.853  000.853: require('nvim-tree.actions')
208.066  000.722  000.722: require('nvim-tree.actions.node.open-file')
210.527  000.567  000.567: require('nvim-tree.marks.navigation')
210.535  001.206  000.638: require('nvim-tree.api')
210.552  001.862  000.656: require('nvim-tree.keymap')
212.002  001.195  001.195: require('nvim-web-devicons')
214.558  000.922  000.922: require('dashboard')
215.335  000.167  000.167: require('bufferline.lazy')
215.639  000.261  000.261: require('bufferline.constants')
216.253  000.607  000.607: require('bufferline.commands')
216.288  001.715  000.680: require('bufferline')
216.979  000.687  000.687: require('bufferline.utils')
217.803  000.807  000.807: require('bufferline.config')
218.244  000.431  000.431: require('bufferline.groups')
218.520  000.214  000.214: require('bufferline.colors')
218.950  000.293  000.293: require('bufferline.highlights')
220.097  000.182  000.182: require('bufferline.hover')
220.686  000.529  000.529: require('bufferline.ui')
223.202  000.746  000.746: require('null-ls.methods')
223.279  001.619  000.873: require('null-ls.utils')
224.782  001.483  001.483: require('vim.diagnostic')
224.839  003.631  000.529: require('null-ls.config')
225.777  000.474  000.474: require('null-ls.helpers.cache')
226.398  000.602  000.602: require('null-ls.helpers.diagnostics')
226.919  000.514  000.514: require('null-ls.helpers.formatter_factory')
228.091  000.548  000.548: require('null-ls.logger')
228.646  000.530  000.530: require('null-ls.state')
228.654  001.729  000.651: require('null-ls.helpers.generator_factory')
229.731  000.509  000.509: require('null-ls.helpers.command_resolver')
229.738  001.079  000.570: require('null-ls.helpers.make_builtin')
230.351  000.608  000.608: require('null-ls.helpers.range_formatting_args_factory')
230.358  005.514  000.508: require('null-ls.helpers')
231.477  000.544  000.544: require('null-ls.diagnostics')
231.488  001.126  000.582: require('null-ls.sources')
231.976  000.482  000.482: require('null-ls.builtins')
231.984  011.238  000.485: require('null-ls')
232.886  000.895  000.895: require('null-ls.builtins.diagnostics.cpplint')
233.675  000.612  000.612: require('null-ls.client')
234.588  000.427  000.427: require('luasnip.loaders.util')
234.598  000.876  000.449: require('luasnip.loaders.from_lua')
241.201  000.573  000.573: require('plenary.tbl')
241.217  001.181  000.608: require('plenary.vararg.rotate')
241.227  001.831  000.650: require('plenary.vararg')
241.779  000.548  000.548: require('plenary.errors')
242.377  000.587  000.587: require('plenary.functional')
242.385  003.864  000.898: require('plenary.async.async')
242.961  000.571  000.571: require('plenary.async.structs')
242.972  005.398  000.963: require('plenary.async.control')
248.041  000.971  000.971: require('plenary.bit')
248.079  002.192  001.221: require('plenary.path')
248.085  002.924  000.732: require('plenary.strings')
248.734  000.645  000.645: require('telescope.deprecated')
250.952  000.765  000.765: require('plenary.log')
250.973  001.364  000.599: require('telescope.log')
252.727  000.890  000.890: require('plenary.job')
253.339  000.604  000.604: require('telescope.state')
253.351  002.374  000.880: require('telescope.utils')
253.360  004.618  000.880: require('telescope.sorters')
255.640  011.345  003.159: require('telescope.config')
257.993  001.039  001.039: require('plenary.window.border')
258.557  000.557  000.557: require('plenary.window')
259.120  000.556  000.556: require('plenary.popup.utils')
259.128  003.476  001.323: require('plenary.popup')
259.772  000.640  000.640: require('telescope.pickers.scroller')
260.378  000.599  000.599: require('telescope.actions.state')
261.021  000.636  000.636: require('telescope.actions.utils')
262.370  000.650  000.650: require('telescope.actions.mt')
262.386  001.358  000.707: require('telescope.actions.set')
263.722  000.661  000.661: require('telescope.config.resolve')
263.730  001.339  000.678: require('telescope.pickers.entry_display')
264.313  000.579  000.579: require('telescope.from_entry')
264.442  021.466  001.494: require('telescope.actions')
266.388  001.250  001.250: require('telescope.make_entry')
268.777  000.604  000.604: require('plenary.async.util')
268.791  001.163  000.559: require('plenary.async.tests')
268.795  001.747  000.584: require('plenary.async')
268.800  002.405  000.658: require('telescope.finders.async_static_finder')
270.919  000.681  000.681: require('plenary.class')
270.935  001.434  000.753: require('telescope._')
270.939  002.136  000.702: require('telescope.finders.async_oneshot_finder')
271.586  000.643  000.643: require('telescope.finders.async_job_finder')
271.615  007.167  000.734: require('telescope.finders')
274.238  000.625  000.625: require('telescope._extensions')
274.248  001.218  000.593: require('telescope')
274.923  000.666  000.666: require('telescope.debounce')
275.688  000.758  000.758: require('telescope.mappings')
276.356  000.659  000.659: require('telescope.pickers.highlights')
276.990  000.627  000.627: require('telescope.pickers.window')
278.358  000.692  000.692: require('telescope.algos.linked_list')
278.366  001.369  000.677: require('telescope.entry_manager')
278.990  000.620  000.620: require('telescope.pickers.multi')
279.014  007.395  001.476: require('telescope.pickers')
279.026  042.284  000.858: require('telescope.builtin.__lsp')
279.065  043.147  000.863: require('telescope.builtin')
282.164  000.497  000.497: require('material.colors')
282.580  000.410  000.410: require('material.highlights.plugins')
282.970  000.382  000.382: require('material.colors.conditionals')
282.987  001.952  000.663: require('material.highlights')
282.992  002.436  000.485: require('material.util')
283.439  002.943  000.507: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\material.nvim\colors\material.lua
298.771  268.192  047.531: sourcing C:\Users\VarunK\AppData\Local\nvim\init.lua
298.825  007.378: sourcing vimrc file(s)
300.766  000.061  000.061: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\LuaSnip\ftdetect\snippets.vim
301.940  001.915  001.854: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\filetype.lua
302.206  000.052  000.052: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\filetype.vim
303.534  000.176  000.176: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\syntax\synload.vim
303.766  001.205  001.029: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\syntax\syntax.vim
309.903  000.406  000.406: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\plugin\gzip.vim
310.072  000.054  000.054: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\plugin\health.vim
312.055  000.519  000.519: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\pack\dist\opt\matchit\plugin\matchit.vim
312.339  002.128  001.609: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\plugin\matchit.vim
312.779  000.330  000.330: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\plugin\matchparen.vim
312.970  000.037  000.037: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\plugin\netrwPlugin.vim
313.538  000.033  000.033: sourcing C:\Users\VarunK\AppData\Local\nvim-data/rplugin.vim
313.556  000.481  000.448: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\plugin\rplugin.vim
313.784  000.126  000.126: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\plugin\shada.vim
313.950  000.050  000.050: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\plugin\spellfile.vim
314.300  000.232  000.232: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\plugin\tarPlugin.vim
314.620  000.203  000.203: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\plugin\tohtml.vim
314.778  000.049  000.049: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\plugin\tutor.vim
315.123  000.241  000.241: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\plugin\zipPlugin.vim
316.926  001.465  001.465: sourcing C:\Users\VarunK\AppData\Local\nvim\plugin\packer_compiled.lua
317.999  000.277  000.277: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\plugin\man.lua
318.064  009.988: loading rtp plugins
320.909  000.354  000.354: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\auto-session\plugin\auto-session.vim
323.020  000.318  000.318: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\Comment.nvim\plugin\Comment.lua
329.866  006.215  006.215: require('dashboard.session')
329.895  006.382  000.166: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\dashboard-nvim\plugin\dashboard.lua
331.077  000.395  000.395: require('indent_blankline.commands')
331.186  000.763  000.368: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\indent-blankline.nvim\plugin\indent_blankline.vim
332.195  000.382  000.382: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\LuaSnip\plugin\luasnip.vim
334.093  000.659  000.659: require('cmp.utils.highlight')
334.371  001.068  000.409: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\nvim-cmp\plugin\cmp.lua
335.147  000.269  000.269: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\nvim-lspconfig\plugin\lspconfig.lua
340.301  000.637  000.637: require('nvim-treesitter.tsrange')
340.847  000.538  000.538: require('nvim-treesitter.caching')
340.884  002.023  000.847: require('nvim-treesitter.query')
340.907  002.933  000.910: require('nvim-treesitter.configs')
340.914  003.575  000.643: require('nvim-treesitter.info')
341.612  000.695  000.695: require('nvim-treesitter.shell_command_selectors')
341.650  005.289  001.018: require('nvim-treesitter.install')
342.222  000.566  000.566: require('nvim-treesitter.statusline')
342.832  000.599  000.599: require('nvim-treesitter.query_predicates')
342.840  007.029  000.575: require('nvim-treesitter')
343.436  007.707  000.679: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\nvim-treesitter\plugin\nvim-treesitter.lua
343.891  000.065  000.065: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\nvim-web-devicons\plugin\nvim-web-devicons.vim
344.583  000.102  000.102: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\plenary.nvim\plugin\plenary.vim
345.660  000.397  000.397: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\telescope.nvim\plugin\telescope.lua
345.867  009.997: loading packages
347.922  000.161  000.161: require('cmp_buffer.timer')
347.933  000.502  000.340: require('cmp_buffer.buffer')
347.939  000.731  000.230: require('cmp_buffer.source')
347.942  000.949  000.218: require('cmp_buffer')
347.972  001.056  000.107: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\cmp-buffer\after\plugin\cmp_buffer.lua
348.707  000.328  000.328: require('cmp_cmdline')
348.726  000.409  000.082: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\cmp-cmdline\after\plugin\cmp_cmdline.lua
349.140  000.101  000.101: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\cmp-nvim-lsp\after\plugin\cmp_nvim_lsp.lua
349.866  000.368  000.368: require('cmp_path')
349.890  000.460  000.091: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\cmp-path\after\plugin\cmp_path.lua
350.593  000.316  000.316: require('cmp_luasnip')
350.655  000.450  000.134: sourcing C:\Users\VarunK\AppData\Local\nvim-data\site\pack\packer\start\cmp_luasnip\after\plugin\cmp_luasnip.lua
351.435  000.448  000.448: sourcing C:\Users\VarunK\AppData\Local\nvim\after\plugin\luasnip.lua
351.454  002.664: loading after plugins
351.498  000.043: inits 3
354.125  002.628: reading ShaDa
358.664  003.251  003.251: require('vim.filetype')
360.934  000.126  000.126: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\ftplugin\lua.vim
362.953  000.061  000.061: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\ftplugin\lua.lua
364.160  000.113  000.113: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\indent\lua.vim
367.576  001.556  001.556: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\syntax\lua.vim
370.076  000.722  000.722: require('nvim-treesitter.locals')
385.801  000.538  000.538: require('luasnip.nodes.snippetProxy')
385.827  001.401  000.863: require('luasnip.loaders.from_snipmate')
386.775  000.891  000.891: require('luasnip.loaders.from_vscode')
388.509  026.263: opening buffers
388.850  000.189  000.189: require('bufferline.state')
397.278  008.580: BufEnter autocommands
397.290  000.012: editing files in windows
398.395  001.105: VimEnter autocommands
398.403  000.009: UIEnter autocommands
398.412  000.009: before starting main loop
399.047  000.237  000.237: require('bufferline.pick')
399.297  000.241  000.241: require('bufferline.duplicates')
399.700  000.396  000.396: require('bufferline.diagnostics')
400.124  000.414  000.414: require('bufferline.models')
400.133  001.621  000.332: require('bufferline.buffers')
400.668  000.263  000.263: require('bufferline.numbers')
401.059  000.276  000.276: require('bufferline.sorters')
401.412  000.313  000.313: require('bufferline.tabpages')
401.841  000.313  000.313: require('bufferline.offset')
402.077  000.224  000.224: require('bufferline.custom_area')
405.409  003.987: first screen update
405.416  000.008: --- NVIM STARTED ---


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.055  000.055: --- NVIM STARTING ---
000.183  000.128: event init
000.420  000.237: early init
015.291  014.871: locale set
015.364  000.072: init first window
016.095  000.732: inits 1
016.474  000.378: window checked
016.489  000.015: parsing arguments
017.724  000.394  000.394: require('vim.shared')
018.542  000.327  000.327: require('vim._meta')
018.550  000.816  000.489: require('vim._editor')
018.557  001.332  000.122: require('vim._init_packages')
018.571  000.751: init lua interpreter
018.673  000.101: expanding arguments
018.764  000.092: inits 2
019.431  000.667: init highlight
019.436  000.005: waiting for UI
023.170  003.734: done waiting for UI
023.195  000.025: init screen for UI
023.554  000.359: init default mappings
023.587  000.033: init default autocommands
027.935  000.112  000.112: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\ftplugin.vim
028.554  000.067  000.067: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\indent.vim
032.075  000.784  000.784: require('packer.util')
032.145  002.596  001.812: require('packer')
034.988  000.940  000.940: require('packer.log')
034.998  001.667  000.727: require('packer.async')
036.651  000.749  000.749: require('packer.result')
036.661  001.658  000.909: require('packer.jobs')
036.671  004.222  000.897: require('packer.plugin_utils')
037.643  000.902  000.902: require('packer.snapshot')
038.357  008.988  001.268: require('plugins')
041.467  000.575  000.575: require('luasnip.session')
042.338  000.820  000.820: require('luasnip.util.util')
042.781  000.413  000.413: require('luasnip.util.types')
043.779  000.466  000.466: require('luasnip.util.ext_opts')
043.809  001.001  000.535: require('luasnip.nodes.util')
044.276  000.441  000.441: require('luasnip.util.events')
044.313  004.020  000.770: require('luasnip.nodes.node')
045.404  000.474  000.474: require('luasnip.util.extend_decorator')
045.437  001.099  000.625: require('luasnip.nodes.insertNode')
045.902  000.438  000.438: require('luasnip.nodes.textNode')
046.443  000.512  000.512: require('luasnip.util.mark')
047.857  000.867  000.867: require('luasnip.util._builtin_vars')
048.159  000.271  000.271: require('vim.inspect')
048.228  001.754  000.616: require('luasnip.util.environ')
048.753  000.498  000.498: require('luasnip.util.pattern_tokenizer')
049.241  000.459  000.459: require('luasnip.util.dict')
049.880  000.609  000.609: require('luasnip.session.snippet_collection')
050.011  010.743  001.354: require('luasnip.nodes.snippet')
051.005  000.448  000.448: require('luasnip.loaders._caches')
051.605  000.569  000.569: require('luasnip.util.path')
051.676  001.637  000.621: require('luasnip.loaders')
052.285  000.587  000.587: require('luasnip.nodes.functionNode')
052.986  000.692  000.692: require('luasnip.nodes.choiceNode')
053.996  001.000  001.000: require('luasnip.nodes.dynamicNode')
054.669  000.663  000.663: require('luasnip.nodes.restoreNode')
056.319  000.534  000.534: require('luasnip.util.parser.neovim_ast')
059.224  000.492  000.492: require('luasnip.util.directed_graph')
059.240  004.091  003.065: require('luasnip.util.parser.ast_utils')
060.117  000.370  000.370: require('luasnip.util.functions')
